Date,Value
2025-05-21,4790
2025-05-22,4298
2025-05-23,3990
2025-05-24,5847
2025-05-25,2570
2025-05-26,3084
2025-05-27,3586
2025-05-28,4125
2025-05-29,2796
2025-05-30,3264
2025-05-31,2797
2025-06-01,986
2025-06-02,1640
2025-06-03,2228
2025-06-04,1986
2025-06-05,1605
2025-06-06,1816
2025-06-07,2237
2025-06-08,2742
2025-06-09,3133
2025-06-10,1208
2025-06-11,2057
2025-06-12,1115
2025-06-13,792
2025-06-14,739
2025-06-15,715
2025-06-16,1590
2025-06-17,1385
2025-06-18,812
2025-06-19,1370
2025-06-20,1173
2025-06-21,793
2025-06-22,575
2025-06-23,696
2025-06-24,510
2025-06-25,451
2025-06-26,546
2025-06-27,475
2025-06-28,617
2025-06-29,159
2025-06-30,220
2025-07-01,246
2025-07-02,414
2025-07-03,268
2025-07-04,538
2025-07-05,388
2025-07-06,328
2025-07-07,389
2025-07-08,340
2025-07-09,619
2025-07-10,2941
2025-07-11,1116
2025-07-12,494
2025-07-13,1199
2025-07-14,1283
2025-07-15,874
2025-07-16,970
2025-07-17,1257
2025-07-18,1219
2025-07-19,752
2025-07-20,554
2025-07-21,229
2025-07-22,568
2025-07-23,216
2025-07-24,774
2025-07-25,655
2025-07-26,470
2025-07-27,466
2025-07-28,530
2025-07-29,564
2025-07-30,601
2025-07-31,537
2025-08-01,617
2025-08-02,563
2025-08-03,504
2025-08-04,1013
2025-08-05,943
2025-08-06,1055
2025-08-07,892
2025-08-08,1374
2025-08-09,1438
2025-08-10,1573
2025-08-11,2175
2025-08-12,1985
2025-08-13,1403
2025-08-14,1091
2025-08-15,1051
2025-08-16,1113
2025-08-17,1166
2025-08-18,1071
2025-08-19,1193
2025-08-20,1108
2025-08-21,150
